claim_id,claim_type,description,claim_amount,policy_age_months,prior_claims_count,prior_payout_total,days_since_policy_start_to_incident,claim_filed_delay_days,documentation_completeness,num_documents_submitted,claim_to_policy_value_ratio,has_witness,channel,claimant_age,is_fraud
CLM1000,auto,Windshield cracked by a falling branch during a storm.,4369.25,107,1,2589.61,122,18,0.83,6,0.256,0,online,40,0
CLM1001,health,"Underwent emergency surgery after an accident, submitting hospital bills.",1571.48,22,0,0.0,857,48,0.71,4,0.168,1,online,44,0
CLM1002,auto,Side mirror and door dented in a parking lot accident.,2398.42,55,1,1499.87,485,50,0.94,7,0.408,1,call_center,24,0
CLM1003,auto,Vehicle stolen from the parking lot overnight.,3476.38,47,0,0.0,81,35,0.69,5,0.906,0,call_center,67,1
CLM1004,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",4792.32,72,1,1060.74,702,39,0.88,4,0.258,0,online,38,1
CLM1005,health,"Physiotherapy sessions following a fracture, claiming session costs.",956.39,15,0,0.0,857,6,0.87,6,0.556,1,online,26,0
CLM1006,auto,"Collision on the highway, front end damage and airbag deployed.",3137.46,41,2,3046.83,33,47,0.76,2,0.513,1,call_center,72,1
CLM1007,travel,Personal belongings stolen from hotel room during vacation.,432.98,78,2,2290.13,398,38,0.84,6,0.367,0,online,44,0
CLM1008,property,Pipe burst in the basement causing water damage to furniture.,8710.6,23,1,1693.92,541,35,0.85,4,0.45,1,online,30,0
CLM1009,travel,"Trip cut short due to a medical emergency abroad, claiming unused bookings.",661.61,30,1,1670.91,348,24,0.93,6,0.08,0,agent,56,0
CLM1010,health,"Prescribed medication for a chronic condition, claiming pharmacy expenses.",759.05,97,0,0.0,684,23,1.0,5,0.01,0,online,32,0
CLM1011,auto,Vehicle stolen from the parking lot overnight.,2019.47,39,0,0.0,113,36,0.73,4,0.334,1,online,66,0
CLM1012,auto,Windshield cracked by a falling branch during a storm.,4091.54,90,1,1139.06,836,54,1.0,4,0.323,1,agent,28,1
CLM1013,property,Break-in resulted in stolen electronics and damaged front door.,9654.15,16,1,1591.77,326,15,0.79,6,0.494,1,online,46,0
CLM1014,auto,"My car was hit while parked outside my house, bumper and headlight damaged.",2239.48,105,1,2384.6,338,39,0.81,6,0.391,1,agent,18,0
CLM1015,property,"Tree fell on the garage during high winds, structural damage reported.",4123.15,112,1,1831.41,2,0,0.77,5,0.321,0,call_center,65,1
